_id	type	street	neighborhood	council_district
1	Crosswalk - Other	ELEVENTH ST	Central Business District	6
2	Crosswalk - Two Lined	PENN AVE	Strip District	7
3	Crosswalk - Two Lined	MORNINGSIDE AVE	Morningside	7
4	Crosswalk - Two Lined	TECH ST	Squirrel Hill North	8
5	Crosswalk - Two Lined	FREW ST	Squirrel Hill South	5
6	Crosswalk - Two Lined	FORBES AVE	Squirrel Hill North	8
7	Crosswalk - Two Lined	BEELER ST	Squirrel Hill North	8
8	Crosswalk - Two Lined	BEELER ST	Squirrel Hill North	8
9	Crosswalk - Continental	FORBES AVE	Squirrel Hill North	8
10	Crosswalk - Continental	FIFTH AVE	Shadyside	8
11	Crosswalk - Continental	FIFTH AVE	Shadyside	8
12	Crosswalk - Continental	FIFTH AVE	Shadyside	8
13	Crosswalk - Continental	FIFTH AVE	Squirrel Hill North	8
14	Crosswalk - Two Lined	BIGELOW BLVD	Polish Hill	7
15	Crosswalk - Continental	FIFTH AVE	Shadyside	8
16	Crosswalk - Two Lined	ELLSWORTH AVE	Shadyside	8
17	Crosswalk - Two Lined	ELLSWORTH AVE	Shadyside	8
18	Crosswalk - Two Lined	BAYARD ST	Shadyside	8
19	Crosswalk - Two Lined	BAYARD ST	Shadyside	8
20	Crosswalk - Ladder	BAYARD ST	Shadyside	8
21	Crosswalk - Continental	BAYARD ST	Shadyside	8
22	Crosswalk - Continental	BAYARD ST	North Oakland	8
23	Crosswalk - Two Lined	BAYARD ST	North Oakland	8
24	Crosswalk - Two Lined	BAYARD ST	North Oakland	8
25	Crosswalk - Ladder	HERRON AVE	Polish Hill	7
26	Crosswalk - Two Lined	BAYARD ST	North Oakland	8
27	Crosswalk - Two Lined	BAYARD ST	North Oakland	8
28	Crosswalk - Continental	BAYARD ST	North Oakland	8
29	Crosswalk - Continental	BAYARD ST	North Oakland	8
30	Crosswalk - Continental	BAYARD ST	North Oakland	8
31	Crosswalk - Continental	BAYARD ST	North Oakland	8
32	Crosswalk - Continental	BAYARD ST	North Oakland	8
33	Crosswalk - Continental	O HARA ST	North Oakland	8
34	Crosswalk - Continental	O HARA ST	North Oakland	8
35	Crosswalk - Continental	O HARA ST	North Oakland	8
36	Crosswalk - Ladder	HERRON AVE	Polish Hill	7
37	Crosswalk - Continental	O HARA ST	North Oakland	8
38	Crosswalk - Two Lined	O HARA ST	North Oakland	8
39	Crosswalk - Two Lined	DE SOTO ST	West Oakland	8
40	Crosswalk - Two Lined	DE SOTO ST	West Oakland	8
41	Crosswalk - Continental	DE SOTO ST	West Oakland	8
42	Crosswalk - Two Lined	DE SOTO ST	North Oakland	8
43	Crosswalk - Two Lined	SUTHERLAND DR	North Oakland	8
44	Crosswalk - Two Lined	TERRACE ST	West Oakland	8
45	Crosswalk - Two Lined	TERRACE ST	West Oakland	6
46	Crosswalk - Two Lined	TERRACE ST	West Oakland	8
47	Crosswalk - Ladder	HERRON AVE	Polish Hill	7
48	Crosswalk - Ladder	TERRACE ST	West Oakland	6
49	Crosswalk - Two Lined	DARRAGH ST	West Oakland	8
50	Crosswalk - Two Lined	DARRAGH ST	West Oakland	8
51	Crosswalk - Two Lined	DARRAGH ST	West Oakland	8
52	Crosswalk - Two Lined	TERRACE ST	West Oakland	8
53	Crosswalk - Two Lined	TERRACE ST	West Oakland	8
54	Crosswalk - Two Lined	LOTHROP ST	West Oakland	8
55	Crosswalk - Two Lined	SUTHERLAND DR	West Oakland	8
56	Crosswalk - Continental	MEYRAN AVE	Central Oakland	3
57	Crosswalk - Continental	MEYRAN AVE	Central Oakland	3
58	Crosswalk - Two Lined	HARMAR ST	Polish Hill	7
59	Crosswalk - Continental	FORBES AVE	Central Oakland	3
60	Crosswalk - Continental	FORBES AVE	Central Oakland	3
61	Crosswalk - Continental	FORBES AVE	Central Oakland	3
62	Crosswalk - Continental	FORBES AVE	Central Oakland	3
63	Crosswalk - Continental	S BOUQUET ST	North Oakland	3
64	Crosswalk - Continental	S BOUQUET ST	Central Oakland	3
65	Crosswalk - Continental	S BOUQUET ST	Central Oakland	8
66	Crosswalk - Two Lined	N BOUQUET ST	West Oakland	8
67	Crosswalk - Two Lined	S BOUQUET ST	Central Oakland	3
68	Crosswalk - Two Lined	S BOUQUET ST	Central Oakland	3
69	Crosswalk - Two Lined	DOBSON ST	Polish Hill	7
70	Crosswalk - Two Lined	S BOUQUET ST	Central Oakland	3
71	Crosswalk - Two Lined	S BOUQUET ST	Central Oakland	3
72	Crosswalk - Continental	OAKLAND AVE	Central Oakland	3
73	Crosswalk - Continental	OAKLAND AVE	Central Oakland	3
74	Crosswalk - Continental	OAKLAND AVE	Central Oakland	8
75	Crosswalk - Two Lined	N EUCLID AVE	East Liberty	9
76	Crosswalk - Two Lined	ASHLEY ST	East Liberty	9
